ValidTimeUtc,SolarMW,WindMW,TotalMW
2025-12-03T02:15:00.0000000Z,0,,0
2025-12-03T03:00:00.0000000Z,0,,0
2025-12-03T03:30:00.0000000Z,0,,0
2025-12-03T04:45:00.0000000Z,0,,0
2025-12-03T05:45:00.0000000Z,0,,0
2025-12-03T06:45:00.0000000Z,0,,0
2025-12-05T00:00:00.0000000Z,,217.39999999999998,217.39999999999998
2025-12-05T00:45:00.0000000Z,,210.60000000000002,210.60000000000002
2025-12-05T01:00:00.0000000Z,,176,176
2025-12-05T07:15:00.0000000Z,0.002,,0.002
2025-12-05T07:30:00.0000000Z,9.193,,9.193
2025-12-05T07:45:00.0000000Z,46.258,,46.258
2025-12-05T09:15:00.0000000Z,599.043,,599.043
2025-12-05T09:30:00.0000000Z,688.71,,688.71
2025-12-05T10:15:00.0000000Z,915.074,,915.074
2025-12-05T10:30:00.0000000Z,974.577,,974.577
2025-12-05T12:00:00.0000000Z,1099.645,,1099.645
2025-12-07T01:15:00.0000000Z,,139.3,139.3
2025-12-07T01:30:00.0000000Z,,137,137
2025-12-07T02:00:00.0000000Z,,1116.3999999999999,1116.3999999999999
2025-12-07T02:15:00.0000000Z,,959.1,959.1
2025-12-07T02:30:00.0000000Z,,125.7,125.7
2025-12-07T02:45:00.0000000Z,,1030.6,1030.6
2025-12-07T03:00:00.0000000Z,,879,879
2025-12-07T03:15:00.0000000Z,,853.7,853.7
2025-12-07T03:30:00.0000000Z,,829.5,829.5
2025-12-07T03:45:00.0000000Z,,891.2,891.2
2025-12-07T04:00:00.0000000Z,,874.7,874.7
2025-12-07T04:15:00.0000000Z,,755.8,755.8
2025-12-07T04:45:00.0000000Z,,98.4,98.4
2025-12-07T05:00:00.0000000Z,,889,889
2025-12-07T05:15:00.0000000Z,,864.4,864.4
2025-12-07T05:30:00.0000000Z,,747.3,747.3
2025-12-07T05:45:00.0000000Z,,89.2,89.2
2025-12-07T06:00:00.0000000Z,,85.9,85.9
2025-12-07T06:15:00.0000000Z,,123.4,123.4
2025-12-07T06:45:00.0000000Z,,847,847
2025-12-07T07:00:00.0000000Z,,648.7,648.7
2025-12-07T07:45:00.0000000Z,,612.1,612.1
2025-12-07T08:15:00.0000000Z,,77.7,77.7
2025-12-07T08:30:00.0000000Z,,77.1,77.1
2025-12-07T08:45:00.0000000Z,,76.3,76.3
2025-12-07T09:00:00.0000000Z,,523.1,523.1
2025-12-07T09:15:00.0000000Z,,104.6,104.6
2025-12-07T09:45:00.0000000Z,,591,591
2025-12-07T10:00:00.0000000Z,,493.7,493.7
2025-12-07T10:15:00.0000000Z,,683.1999999999999,683.1999999999999
2025-12-07T10:30:00.0000000Z,,101.3,101.3
2025-12-07T10:45:00.0000000Z,,493.6,493.6
2025-12-07T11:00:00.0000000Z,,74.7,74.7
2025-12-07T11:30:00.0000000Z,,76.1,76.1
2025-12-07T11:45:00.0000000Z,,528.3,528.3
2025-12-07T12:00:00.0000000Z,,611.4,611.4
2025-12-07T12:15:00.0000000Z,,599.8,599.8
2025-12-07T12:45:00.0000000Z,,629.3,629.3
2025-12-07T13:15:00.0000000Z,,92.6,92.6
2025-12-07T13:30:00.0000000Z,,712,712
2025-12-07T13:45:00.0000000Z,,547.6,547.6
2025-12-07T14:00:00.0000000Z,,100.3,100.3
2025-12-07T14:15:00.0000000Z,,537.3,537.3
2025-12-07T14:45:00.0000000Z,,805.2,805.2
2025-12-07T15:15:00.0000000Z,,112.3,112.3
2025-12-07T15:30:00.0000000Z,,513.7,513.7
2025-12-07T15:45:00.0000000Z,,898.1,898.1
2025-12-07T16:15:00.0000000Z,,500.2,500.2
2025-12-07T16:30:00.0000000Z,,124.1,124.1
2025-12-07T16:45:00.0000000Z,,491.3,491.3
2025-12-07T17:15:00.0000000Z,,476.4,476.4
2025-12-07T17:30:00.0000000Z,,479.8,479.8
2025-12-07T17:45:00.0000000Z,,491,491
2025-12-07T18:30:00.0000000Z,,97.8,97.8
2025-12-07T18:45:00.0000000Z,,100.8,100.8
2025-12-07T19:15:00.0000000Z,,642.7,642.7
2025-12-07T19:30:00.0000000Z,,676,676
2025-12-07T23:15:00.0000000Z,0,,0
2025-12-07T23:30:00.0000000Z,0,,0
2025-12-08T00:00:00.0000000Z,0,,0
2025-12-08T00:30:00.0000000Z,0,,0
2025-12-08T01:15:00.0000000Z,0,,0
2025-12-08T01:30:00.0000000Z,0,,0
2025-12-08T02:00:00.0000000Z,0,,0
2025-12-08T02:30:00.0000000Z,0,,0
2025-12-08T06:45:00.0000000Z,0,,0
2025-12-08T07:45:00.0000000Z,30.66,,30.66
2025-12-08T08:15:00.0000000Z,152.603,,152.603
2025-12-08T09:15:00.0000000Z,464.595,,464.595
2025-12-08T09:30:00.0000000Z,526.105,,526.105
2025-12-08T10:00:00.0000000Z,622.178,,622.178
2025-12-08T10:15:00.0000000Z,669.963,,669.963
2025-12-08T10:30:00.0000000Z,714.889,,714.889
2025-12-08T10:45:00.0000000Z,751.582,,751.582
2025-12-08T11:00:00.0000000Z,779.401,,779.401
2025-12-09T16:00:00.0000000Z,0,,0
2025-12-09T18:15:00.0000000Z,0,,0
2025-12-09T19:00:00.0000000Z,0,,0
2025-12-09T20:45:00.0000000Z,0,,0
2025-12-09T21:15:00.0000000Z,0,,0
2025-12-09T21:30:00.0000000Z,0,,0
